Incident_Address,fines,missed_count,total_requests
1 BELLE FORREST AVE C,0,1,1
10 Belle Forrest Ave,0,1,1
"100 Bluefield Square, Nashville, TN 37214, United States",0,1,1
100 Braxton Hill Ct,0,1,1
100 Brook Hollow Rd,0,1,1
"100 Clydelan Ct, Nashville, TN 37205, United States",200,2,2
"100 Desoto Dr, Nashville, TN 37210, United States",0,1,1
"100 Dyer Ct, Nashville, TN 37218, United States",0,1,1
"100 Graeme Dr, Nashville, TN 37214, United States",0,1,1
"100 Iroquois Ct, Nashville, TN 37205, United States",0,1,1
"100 Lincoln Ct, Nashville, TN 37205, United States",200,2,2
"100 Marshall Ct, Nashville, TN 37212, United States",200,2,2
"100 Morningview Ct, Nashville, TN 37115, United States",0,1,1
"100 Mountainhigh Dr, Nashville, TN 37013, United States",0,1,1
"100 Nashboro Greens, Nashville, TN 37217, United States",200,2,2
"100 Oceanfront Cir N, Nashville, TN 37013, United States",0,1,1
100 Peachtree St C,0,1,1
"100 Rhine Dr, Nashville, TN 37115, United States",200,2,2
"100 S GRAYCROFT AVE, 37115",0,1,1
"100 S Graycroft Ave, Nashville, TN 37115, United States",0,1,1
"100 Shields Ln, Nashville, TN 37115, United States",0,1,1
"100 Took Dr, Nashville, TN 37013, United States",0,1,1
100 WESTMINSTER PL,0,1,1
100 Whitney Place Ct,0,1,1
100 cedarmont ct,0,1,1
"1000 2nd Ave N, Nashville, TN 37243, USA",200,2,2
"1000 Clay St, Nashville, TN 37208, United States",0,1,1
"1000 Donelson St, Nashville, TN 37210, United States",0,1,1
"1000 Flintlock Ct, Nashville, TN 37217, United States",200,2,2
"1000 Gilmore Ave, Nashville, TN 37204, United States",0,1,1
"1000 Lebanon Pike, Nashville, TN 37210, United States",0,1,1
1000 N 14th St,0,1,1
"1000 Trevino Pl, Antioch, Tennessee, 37013",400,3,3
"1000 Trice Dr, Nashville, TN 37209, United States",200,2,2
1000 W Eastland Ave,0,1,1
1000 Waverly Ave,0,1,1
1000 n 7th st,0,1,1
"1001 Esturbridge Ct, Nashville, TN 37013, United States",0,1,1
"1001 Mitchell Rd, Nashville, TN 37206, United States",0,1,1
1001 N 6th St,0,1,1
"1001 N Graycroft Ave,Nashville,TN 37115,United States",0,1,1
1001 w grove ave,0,1,1
"1001B Dozier Pl, Nashville, TN 37216, USA",0,1,1
"1002 Greenwich Park, Nashville, TN 37215, United States",0,1,1
1002 N Graycroft Ave,0,1,1
"1002 N Graycroft Ave, Nashville, TN 37115, United States",0,1,1
"1002 Southside Ave, Nashville, TN 37203, United States",0,1,1
1002 waverly ave,0,1,1
"1003 12th Ave N, Nashville, TN 37208, United States",0,1,1
"1003 Alice St, Nashville, TN 37218, United States",0,1,1
1003 Broadmoor Dr,0,1,1
1003 Caruthers Ave B,0,1,1
