Trash_Hauler_x,Trash_Route,total_requests,total_fines,total_missed_pickups,unique_addresses,requests_per_address,fine_per_request
METRO,4409,2,400,4,1,2.0,200.0
METRO,9201,94,14800,168,73,1.2876712328767124,157.4468085106383
METRO,9202,62,3200,78,55,1.1272727272727272,51.61290322580645
METRO,9203,221,50400,473,134,1.6492537313432836,228.05429864253395
METRO,9204,38,3400,55,29,1.3103448275862069,89.47368421052632
METRO,9205,133,21400,240,97,1.3711340206185567,160.90225563909775
METRO,9206,32,400,34,30,1.0666666666666667,12.5
METRO,9207,74,7200,110,59,1.2542372881355932,97.29729729729729
METRO,9208,199,84600,622,128,1.5546875,425.1256281407035
METRO,9301,39,6000,69,34,1.1470588235294117,153.84615384615384
METRO,9302,87,9600,135,67,1.2985074626865671,110.34482758620689
METRO,9303,233,56800,517,149,1.563758389261745,243.77682403433477
METRO,9304,58,9200,104,43,1.3488372093023255,158.6206896551724
METRO,9305,10,0,10,10,1.0,0.0
METRO,9306,48,4800,72,38,1.263157894736842,100.0
METRO,9307,102,12400,164,75,1.36,121.56862745098039
METRO,9308,96,15600,174,67,1.4328358208955223,162.5
METRO,9401,93,10800,147,72,1.2916666666666667,116.12903225806451
METRO,9402,95,6400,127,79,1.2025316455696202,67.36842105263158
METRO,9403,138,26800,272,101,1.3663366336633664,194.20289855072463
METRO,9404,91,7000,126,74,1.2297297297297298,76.92307692307692
METRO,9405,32,1600,40,28,1.1428571428571428,50.0
METRO,9406,41,4000,61,34,1.2058823529411764,97.5609756097561
METRO,9407,138,35800,317,91,1.5164835164835164,259.42028985507244
METRO,9408,107,11200,163,84,1.2738095238095237,104.67289719626169
METRO,9501,31,3600,49,25,1.24,116.12903225806451
METRO,9502,72,3600,90,62,1.1612903225806452,50.0
METRO,9503,155,19000,250,120,1.2916666666666667,122.58064516129032
METRO,9504,43,2000,53,36,1.1944444444444444,46.51162790697674
METRO,9505,47,1400,54,45,1.0444444444444445,29.78723404255319
METRO,9506,65,22800,179,45,1.4444444444444444,350.7692307692308
METRO,9507,63,2800,77,56,1.125,44.44444444444444
METRO,9508,123,21200,229,89,1.3820224719101124,172.35772357723576
RED RIVER,1201,166,17600,254,133,1.2481203007518797,106.02409638554217
RED RIVER,1202,90,7000,125,75,1.2,77.77777777777777
RED RIVER,1202S,4,0,4,4,1.0,0.0
RED RIVER,1203,72,2200,83,66,1.0909090909090908,30.555555555555557
RED RIVER,1204,62,3200,78,55,1.1272727272727272,51.61290322580645
RED RIVER,1205,45,15600,123,26,1.7307692307692308,346.6666666666667
RED RIVER,1301,165,20200,266,126,1.3095238095238095,122.42424242424242
RED RIVER,1302,132,24600,255,96,1.375,186.36363636363637
RED RIVER,1302S,24,1800,33,22,1.0909090909090908,75.0
RED RIVER,1303,138,46000,368,93,1.4838709677419355,333.3333333333333
RED RIVER,1303S,9,2400,21,6,1.5,266.6666666666667
RED RIVER,1304,96,11000,151,75,1.28,114.58333333333333
RED RIVER,1305,46,4400,68,36,1.2777777777777777,95.65217391304348
RED RIVER,1308,44,4800,68,34,1.2941176470588236,109.0909090909091
RED RIVER,1309,53,6400,85,39,1.358974358974359,120.75471698113208
RED RIVER,1401,56,4800,80,43,1.302325581395349,85.71428571428571
RED RIVER,1402,85,12600,148,62,1.3709677419354838,148.23529411764707
RED RIVER,1403,61,4400,83,51,1.196078431372549,72.1311475409836
RED RIVER,1404,63,6800,97,49,1.2857142857142858,107.93650793650794
RED RIVER,1405,42,5200,68,32,1.3125,123.80952380952381
RED RIVER,1501,162,53800,431,118,1.3728813559322033,332.0987654320988
RED RIVER,1502,113,16800,197,81,1.3950617283950617,148.67256637168143
RED RIVER,1502S,1,0,1,1,1.0,0.0
RED RIVER,1503,143,21400,250,110,1.3,149.65034965034965
RED RIVER,1504,99,19400,196,71,1.3943661971830985,195.95959595959596
RED RIVER,1504S,7,8400,49,1,7.0,1200.0
RED RIVER,1505,56,7200,92,42,1.3333333333333333,128.57142857142858
RED RIVER,1507,13,400,15,12,1.0833333333333333,30.76923076923077
RED RIVER,2201,81,10400,133,62,1.3064516129032258,128.39506172839506
RED RIVER,2202,41,6400,73,32,1.28125,156.09756097560975
RED RIVER,2203,175,20600,278,133,1.3157894736842106,117.71428571428571
RED RIVER,2204,103,17400,190,65,1.5846153846153845,168.93203883495147
RED RIVER,2205,131,12000,191,103,1.2718446601941749,91.6030534351145
RED RIVER,2301,61,8600,104,48,1.2708333333333333,140.98360655737704
RED RIVER,2301S,7,2400,19,4,1.75,342.85714285714283
RED RIVER,2302,45,3200,61,38,1.1842105263157894,71.11111111111111
RED RIVER,2303,163,111200,719,87,1.8735632183908046,682.2085889570552
RED RIVER,2303S,20,4000,40,16,1.25,200.0
RED RIVER,2304,47,7600,85,37,1.2702702702702702,161.70212765957447
RED RIVER,2304S,18,2800,32,13,1.3846153846153846,155.55555555555554
RED RIVER,2305,186,39000,381,119,1.5630252100840336,209.67741935483872
RED RIVER,2305S,39,10600,92,27,1.4444444444444444,271.79487179487177
RED RIVER,2401,78,12200,139,59,1.3220338983050848,156.4102564102564
RED RIVER,2402,29,800,33,29,1.0,27.586206896551722
RED RIVER,2402S,4,0,4,4,1.0,0.0
RED RIVER,2403,102,17400,189,77,1.3246753246753247,170.58823529411765
RED RIVER,2404,42,800,46,41,1.024390243902439,19.047619047619047
RED RIVER,2405,203,56400,485,128,1.5859375,277.83251231527095
RED RIVER,2405S,3,0,3,3,1.0,0.0
RED RIVER,2501,102,8800,146,86,1.186046511627907,86.27450980392157
RED RIVER,2502,62,9000,107,48,1.2916666666666667,145.16129032258064
RED RIVER,2503,57,1600,65,54,1.0555555555555556,28.07017543859649
RED RIVER,2504,64,3200,80,54,1.1851851851851851,50.0
RED RIVER,2505,202,43200,418,133,1.518796992481203,213.86138613861385
RED RIVER,2505S,2,0,2,2,1.0,0.0
RED RIVER,3201,217,61800,526,141,1.5390070921985815,284.7926267281106
RED RIVER,3202,171,23000,286,122,1.401639344262295,134.50292397660817
RED RIVER,3203,217,72600,580,126,1.7222222222222223,334.5622119815668
RED RIVER,3204,168,17200,254,133,1.263157894736842,102.38095238095238
RED RIVER,3205,106,6200,137,91,1.164835164835165,58.490566037735846
RED RIVER,3206,35,2800,49,29,1.206896551724138,80.0
RED RIVER,3212,142,40000,342,90,1.5777777777777777,281.6901408450704
RED RIVER,3214,142,29200,288,99,1.4343434343434343,205.6338028169014
RED RIVER,3301,176,24800,300,131,1.3435114503816794,140.9090909090909
RED RIVER,3301S,4,0,4,4,1.0,0.0
RED RIVER,3302,262,60200,563,170,1.5411764705882354,229.7709923664122
RED RIVER,3302S,22,1800,31,19,1.1578947368421053,81.81818181818181
RED RIVER,3303,209,47600,447,151,1.3841059602649006,227.7511961722488
RED RIVER,3303S,2,400,4,1,2.0,200.0
RED RIVER,3304,160,15200,236,123,1.3008130081300813,95.0
RED RIVER,3304S,42,2200,53,37,1.135135135135135,52.38095238095238
RED RIVER,3305,241,62400,553,148,1.6283783783783783,258.92116182572613
RED RIVER,3305S,12,8800,56,5,2.4,733.3333333333334
RED RIVER,3312,79,17600,167,57,1.3859649122807018,222.78481012658227
RED RIVER,3314,98,18200,189,70,1.4,185.71428571428572
RED RIVER,3401,143,27200,279,107,1.3364485981308412,190.2097902097902
RED RIVER,3402,84,12200,145,64,1.3125,145.23809523809524
RED RIVER,3402S,13,1200,19,11,1.1818181818181819,92.3076923076923
RED RIVER,3403,151,23600,269,100,1.51,156.2913907284768
RED RIVER,3404,96,12400,158,78,1.2307692307692308,129.16666666666666
RED RIVER,3405,88,5600,116,73,1.2054794520547945,63.63636363636363
RED RIVER,3406,19,5600,47,12,1.5833333333333333,294.7368421052632
RED RIVER,3407,16,3200,32,12,1.3333333333333333,200.0
RED RIVER,3411,7,3600,25,3,2.3333333333333335,514.2857142857143
RED RIVER,3412,202,43600,420,125,1.616,215.84158415841586
RED RIVER,3414,117,20600,220,77,1.5194805194805194,176.06837606837607
RED RIVER,3501,116,16400,198,83,1.3975903614457832,141.3793103448276
RED RIVER,3502,158,11600,216,129,1.2248062015503876,73.41772151898734
RED RIVER,3503,216,29200,362,162,1.3333333333333333,135.1851851851852
RED RIVER,3504,147,26800,281,107,1.3738317757009346,182.31292517006804
RED RIVER,3505,72,4000,92,61,1.180327868852459,55.55555555555556
RED RIVER,3512,101,15600,179,67,1.507462686567164,154.45544554455446
RED RIVER,3514,76,11200,132,53,1.4339622641509433,147.3684210526316
RED RIVER,4201,104,69000,449,51,2.0392156862745097,663.4615384615385
RED RIVER,4201S,2,0,2,2,1.0,0.0
RED RIVER,4202,148,27000,283,108,1.3703703703703705,182.43243243243242
RED RIVER,4203,192,39800,391,142,1.352112676056338,207.29166666666666
RED RIVER,4203S,59,22400,171,32,1.84375,379.66101694915255
RED RIVER,4204,178,47000,413,121,1.4710743801652892,264.0449438202247
RED RIVER,4205,33,1000,38,31,1.064516129032258,30.303030303030305
RED RIVER,4209,21,1200,27,18,1.1666666666666667,57.142857142857146
RED RIVER,4210,21,600,24,20,1.05,28.571428571428573
RED RIVER,4301,44,6000,74,38,1.1578947368421053,136.36363636363637
RED RIVER,4302,132,65400,459,78,1.6923076923076923,495.45454545454544
RED RIVER,4303,187,36000,367,130,1.4384615384615385,192.5133689839572
RED RIVER,4304,217,50800,471,142,1.528169014084507,234.10138248847926
RED RIVER,4305,90,13400,157,66,1.3636363636363635,148.88888888888889
RED RIVER,4305S,6,800,10,4,1.5,133.33333333333334
RED RIVER,4310,41,6400,73,32,1.28125,156.09756097560975
RED RIVER,4401,46,4000,66,39,1.1794871794871795,86.95652173913044
RED RIVER,4402,101,8600,144,85,1.188235294117647,85.14851485148515
RED RIVER,4402S,4,0,4,4,1.0,0.0
RED RIVER,4403,199,65400,526,115,1.7304347826086957,328.643216080402
RED RIVER,4404,262,55200,538,179,1.4636871508379887,210.68702290076337
RED RIVER,4405,121,14400,193,98,1.2346938775510203,119.00826446280992
RED RIVER,4409,3,400,5,2,1.5,133.33333333333334
RED RIVER,4410,36,2800,50,30,1.2,77.77777777777777
RED RIVER,4501,79,13200,145,54,1.462962962962963,167.08860759493672
RED RIVER,4502,200,61200,506,121,1.6528925619834711,306.0
RED RIVER,4503,140,13400,207,110,1.2727272727272727,95.71428571428571
RED RIVER,4504,347,129200,993,216,1.6064814814814814,372.3342939481268
RED RIVER,4504S,4,400,6,2,2.0,100.0
RED RIVER,4505,78,7600,116,58,1.3448275862068966,97.43589743589743
RED RIVER,4506,17,2000,27,13,1.3076923076923077,117.6470588235294
RED RIVER,4510,170,91600,628,111,1.5315315315315314,538.8235294117648
WASTE IND,2206,84,21000,189,61,1.3770491803278688,250.0
WASTE IND,2207,18,0,18,18,1.0,0.0
WASTE IND,2306,37,2400,49,32,1.15625,64.86486486486487
WASTE IND,2308,83,9600,131,63,1.3174603174603174,115.66265060240964
WASTE IND,2408,43,6800,77,29,1.4827586206896552,158.13953488372093
WASTE IND,2506,60,5600,88,49,1.2244897959183674,93.33333333333333
WASTE IND,2509,72,8800,116,56,1.2857142857142858,122.22222222222223
WASTE IND,3207,143,16800,227,102,1.4019607843137254,117.48251748251748
WASTE IND,3208,95,21600,203,71,1.3380281690140845,227.3684210526316
WASTE IND,3306,104,13200,170,80,1.3,126.92307692307692
